08/20-14:36:58.690508, 19720, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-14:37:01.892076, 22017, ICMP, raw, 68, C2S, 10.255.255.5:0, 192.118.42.254:0, 1:399:9, allow
08/20-14:37:47.866887, 82099, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:41:24.883688, 355328, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:41:41.402712, 370619, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:43:28.272545, 482470, ICMP, raw, 62, C2S, 10.255.255.5:0, 94.20.141.223:0, 1:449:9, allow
08/20-14:45:51.377380, 652654, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:45:58.106794, 658536, ICMP, raw, 72, C2S, 10.255.255.5:0, 193.1.33.5:0, 1:449:9, allow
08/20-14:46:03.168656, 661342, ICMP, raw, 72, C2S, 10.255.255.5:0, 193.1.33.5:0, 1:449:9, allow
08/20-14:46:08.252375, 666594, ICMP, raw, 72, C2S, 10.255.255.5:0, 193.1.33.5:0, 1:449:9, allow
08/20-14:47:43.562720, 787519, ICMP, raw, 62, C2S, 10.255.255.5:0, 20.57.167.96:0, 1:449:9, allow
08/20-14:47:46.175057, 789088, ICMP, raw, 62, C2S, 10.255.255.5:0, 20.57.167.96:0, 1:449:9, allow
08/20-14:47:46.424144, 789421, ICMP, raw, 62, C2S, 10.255.255.5:0, 20.57.167.96:0, 1:449:9, allow
08/20-14:47:46.434337, 789428, ICMP, raw, 62, C2S, 10.255.255.5:0, 20.57.167.96:0, 1:449:9, allow
08/20-14:48:25.087201, 859907, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:25.087201, 859908, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:25.292151, 860124, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:25.497218, 860337, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:25.497218, 860338, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:25.907018, 860849, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:25.907018, 860850, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:26.349429, 861781, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:26.349429, 861782, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:27.444599, 863657, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:27.444640, 863658, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:29.417451, 867939, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:29.417451, 867940, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:33.489551, 871599, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:33.489552, 871600, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:38.818987, 876262, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:47.014237, 882507, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:48:47.014238, 882508, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.134:0, 1:402:16, allow
08/20-14:50:42.884467, 1134940, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:53:19.368884, 1365062, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:54:36.620514, 1460003, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-14:54:39.011727, 1465669, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:55:19.007757, 1526221, ICMP, raw, 98, C2S, 10.255.255.5:0, 94.141.120.83:0, 1:449:9, allow
08/20-14:55:25.222215, 1533257, ICMP, raw, 98, C2S, 10.255.255.5:0, 202.112.237.201:0, 1:449:9, allow
08/20-14:56:11.261414, 1606956, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-14:57:13.875142, 1713356, ICMP, raw, 72, C2S, 10.255.255.5:0, 192.241.155.120:0, 1:399:9, allow
08/20-14:58:09.895435, 1792620, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:59:04.334925, 1931729, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-14:59:10.558352, 1937395, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:00:27.071363, 1996724, ICMP, raw, 62, C2S, 10.255.255.5:0, 74.3.163.37:0, 1:449:9, allow
08/20-15:00:27.071363, 1996725, ICMP, raw, 62, C2S, 10.255.255.5:0, 74.3.163.37:0, 1:449:9, allow
08/20-15:00:27.293283, 1996848, ICMP, raw, 62, C2S, 10.255.255.5:0, 74.3.163.37:0, 1:449:9, allow
08/20-15:00:27.320483, 1996859, ICMP, raw, 62, C2S, 10.255.255.5:0, 74.3.163.37:0, 1:449:9, allow
08/20-15:01:19.317625, 2063670, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-15:02:24.462613, 2165378, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:02:54.108464, 2216562, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:03:21.020954, 2253898, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:21.035345, 2253904, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:21.841251, 2254421, ICMP, raw, 64, C2S, 10.255.255.5:0, 123.162.190.194:0, 1:449:9, allow
08/20-15:03:21.850301, 2254427, ICMP, raw, 64, C2S, 10.255.255.5:0, 123.162.190.194:0, 1:449:9, allow
08/20-15:03:24.276732, 2256559, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:24.276733, 2256560, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:25.846509, 2257677, ICMP, raw, 64, C2S, 10.255.255.5:0, 123.162.190.194:0, 1:449:9, allow
08/20-15:03:25.853462, 2257681, ICMP, raw, 64, C2S, 10.255.255.5:0, 123.162.190.194:0, 1:449:9, allow
08/20-15:03:29.077633, 2260026, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:29.077633, 2260028, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:34.200567, 2270724, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.39.136:0, 1:402:16, allow
08/20-15:03:48.566349, 2287828, ICMP, raw, 93, C2S, 185.93.41.55:0, 172.64.148.154:0, 1:399:9, allow
08/20-15:04:01.233554, 2303119, ICMP, raw, 93, C2S, 185.93.41.55:0, 172.64.148.154:0, 1:399:9, allow
08/20-15:04:03.856191, 2305712, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:04:04.255025, 2306487, ICMP, raw, 170, C2S, 185.93.41.55:0, 172.64.148.154:0, 1:399:9, allow
08/20-15:05:46.521473, 2429503, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-15:05:51.233952, 2433857, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:05:59.030162, 2445823, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:05:59.030162, 2445824, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:05:59.030162, 2445825, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:05:59.030162, 2445826, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:06:02.131594, 2449706, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:06:02.131594, 2449707, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:06:05.303546, 2458348, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:06:09.553812, 2472883, ICMP, raw, 68, C2S, 10.255.255.5:0, 192.118.42.254:0, 1:399:9, allow
08/20-15:06:14.718836, 2477695, ICMP, raw, 68, C2S, 185.93.41.55:0, 192.229.221.95:0, 1:399:9, allow
08/20-15:06:29.864797, 2501092, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-15:06:40.820767, 2524885, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:09:38.295779, 2780569, ICMP, raw, 98, C2S, 10.255.255.5:0, 176.124.32.11:0, 1:449:9, allow
08/20-15:10:24.591592, 2834199, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-15:11:19.040499, 2912394, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:13:54.674470, 3175163, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:14:22.899818, 3210925, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:21:30.972647, 3961202, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.40.135:0, 1:402:16, allow
08/20-15:21:30.973950, 3961207, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.40.135:0, 1:402:16, allow
08/20-15:22:35.341750, 4172889, ICMP, raw, 98, C2S, 10.255.255.5:0, 94.141.120.83:0, 1:449:9, allow
08/20-15:23:27.774665, 4281011, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:25:01.618389, 5026558, ICMP, raw, 68, C2S, 10.255.255.5:0, 192.241.129.61:0, 1:399:9, allow
08/20-15:27:49.668199, 5455563, ICMP, raw, 64, C2S, 10.255.255.5:0, 197.84.133.3:0, 1:449:9, allow
08/20-15:27:49.668199, 5455564, ICMP, raw, 64, C2S, 10.255.255.5:0, 197.84.133.3:0, 1:449:9, allow
08/20-15:27:53.670185, 5463157, ICMP, raw, 64, C2S, 10.255.255.5:0, 197.84.133.3:0, 1:449:9, allow
08/20-15:27:53.671157, 5463159, ICMP, raw, 64, C2S, 10.255.255.5:0, 197.84.133.3:0, 1:449:9, allow
08/20-15:27:55.565282, 5467262, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:01.845281, 5479355, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:20.838268, 5529645, ICMP, raw, 107, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:20.838268, 5529646, ICMP, raw, 68, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:20.838268, 5529647, ICMP, raw, 68, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:20.838268, 5529648, ICMP, raw, 107, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:20.838268, 5529649, ICMP, raw, 107, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:23.326522, 5534099, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:28:31.046433, 5551920, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:34.456570, 5569416, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:41.906876, 5581684, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:43.456954, 5584555, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:44.429289, 5589756, ICMP, raw, 107, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:44.429289, 5589757, ICMP, raw, 68, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:44.429289, 5589758, ICMP, raw, 68, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:44.429327, 5589759, ICMP, raw, 107, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:44.429369, 5589760, ICMP, raw, 107, C2S, 185.93.41.55:0, 172.64.41.3:0, 1:399:9, allow
08/20-15:28:45.267030, 5591920, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:46.667098, 5603287, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:28:54.097465, 5623053, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:29:06.227788, 5666934, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-15:29:15.578262, 5683912, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:29:26.668734, 5703197, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:29:41.839206, 5733270, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.169.207.230:0, 1:399:9, allow
08/20-15:30:16.550603, 5804834, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
08/20-15:31:34.727825, 5987976, ICMP, raw, 56, C2S, 185.93.41.55:0, 172.224.48.13:0, 1:402:16, allow
08/20-15:31:51.993014, 6015809, ICMP, raw, 118, C2S, 10.255.255.5:0, 202.112.237.201:0, 1:449:9, allow
08/20-15:32:15.005267, 6070036, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.104.138.223:0, 1:399:9, allow
08/20-15:34:15.203148, 6331016, ICMP, raw, 72, C2S, 10.255.255.5:0, 185.126.237.183:0, 1:449:9, allow
08/20-15:34:20.203092, 6342017, ICMP, raw, 72, C2S, 10.255.255.5:0, 185.126.237.183:0, 1:449:9, allow
08/20-15:34:25.232478, 6349087, ICMP, raw, 72, C2S, 10.255.255.5:0, 185.126.237.183:0, 1:449:9, allow
08/20-15:34:39.825314, 6384854, ICMP, raw, 62, C2S, 10.255.255.5:0, 103.153.254.103:0, 1:449:9, allow
08/20-15:34:39.878184, 6384953, ICMP, raw, 62, C2S, 10.255.255.5:0, 103.153.254.103:0, 1:449:9, allow
08/20-15:34:39.878890, 6384954, ICMP, raw, 62, C2S, 10.255.255.5:0, 103.153.254.103:0, 1:449:9, allow
08/20-15:34:39.913273, 6385022, ICMP, raw, 62, C2S, 10.255.255.5:0, 103.153.254.103:0, 1:449:9, allow
08/20-15:41:13.666220, 7242801, ICMP, raw, 68, C2S, 10.255.255.5:0, 172.255.0.6:0, 1:399:9, allow
